ID,code,Q5
157,370,4
158,312,1
166,312,1
170,311,3
171,312,3
177,312,1
181,311,1
182,312,2
183,330,1
185,311,2
186,330,1
187,312,3
188,330,7
189,340,2
190,311,2
191,312,1
193,330,2
194,313,1
198,311,
200,313,
201,312,3
203,340,2
205,313,3
207,340,1
208,330,3
210,311,3
212,312,
213,370,1
214,340,2
215,240,3
216,313,2
217,111,
219,370,4
220,313,2
221,370,2
222,111,2
223,311,1
224,312,1
226,313,
228,340,1
229,370,2
230,313,3
231,370,2
232,370,
234,111,3
235,370,1
236,311,1
237,340,1
239,114,1
241,340,1
243,313,
244,111,1
245,370,2
246,330,1
247,250,3
248,114,2
250,313,2
251,370,2
252,240,3
253,330,3
254,114,3
255,340,3
256,370,
257,311,
259,370,7
260,111,3
261,114,2
264,370,2
265,330,1
270,111,
271,340,3
276,312,3
277,250,3
278,370,1
279,230,3
280,330,2
281,240,1
282,114,3
283,340,2
284,111,9
285,230,1
287,370,
289,370,
290,313,3
291,230,3
292,340,2
293,312,
295,111,1
296,340,
297,230,1
298,313,7
299,330,1
300,312,2
301,240,3
302,114,3
303,111,1
304,312,3
305,230,1
306,313,9
307,240,3
308,113,5
309,330,9
310,111,7
311,240,1
312,313,3
313,250,3
314,370,2
315,313,
316,230,3
317,240,7
318,230,1
319,114,2
320,313,2
321,240,1
322,330,1
323,240,3
324,312,2
325,230,1
327,230,3
328,240,2
329,313,7
330,240,2
331,312,1
332,114,3
333,240,3
335,330,1
336,230,2
338,250,2
340,230,1
341,113,1
342,313,3
343,312,3
345,230,2
346,370,2
347,240,2
348,111,1
349,230,3
350,313,3
351,114,3
352,230,1
354,230,1
358,240,2
359,312,1
360,313,2
361,370,
362,230,1
363,312,5
364,230,2
365,230,3
369,114,3
371,111,3
372,240,2
373,313,3
374,114,3
375,250,1
376,370,3
377,313,1
378,312,2
379,220,3
381,312,2
382,230,9
384,240,7
385,240,
386,111,3
387,114,
388,313,3
389,114,1
390,240,2
391,220,3
392,230,
393,111,1
394,114,1
396,250,
397,240,3
398,313,3
399,240,2
401,111,9
403,230,3
404,240,3
406,370,1
407,220,2
408,313,2
409,230,3
410,114,1
411,220,1
412,313,3
413,111,3
414,230,2
415,240,2
416,312,1
417,312,1
418,114,3
419,111,3
420,240,2
421,230,2
422,114,3
423,230,2
424,220,2
425,220,7
426,111,3
427,312,1
429,340,2
430,230,3
431,230,1
432,114,1
433,111,3
434,340,1
435,220,3
436,312,1
437,230,3
438,220,3
439,230,1
440,312,1
441,111,3
442,114,3
443,230,1
444,250,3
445,340,1
446,230,2
447,220,
448,114,9
449,230,3
450,230,3
452,340,2
453,114,2
454,250,1
455,220,2
456,230,7
457,340,2
458,340,
459,340,1
460,220,1
461,230,3
462,250,3
463,340,1
464,250,
471,370,3
472,370,3
474,313,3
480,313,9
481,313,1
483,313,3
485,220,9
486,313,2
487,114,3
489,313,1
491,380,1
492,313,3
493,220,1
495,370,2
496,313,1
498,313,7
499,313,5
500,114,1
504,370,2
505,112,1
506,313,3
507,380,1
508,370,2
510,313,7
511,370,2
512,313,
513,313,3
514,313,2
515,370,2
516,313,9
517,313,2
518,380,3
519,112,1
520,230,1
521,313,1
522,112,3
523,370,1
524,313,2
525,112,2
526,230,1
527,313,3
528,370,7
529,380,1
530,370,5
531,114,3
532,230,3
534,313,5
535,360,2
536,313,8
539,370,
541,220,2
542,230,3
543,313,2
544,112,1
545,114,2
546,313,3
547,370,1
549,230,3
550,114,1
551,360,3
552,380,3
553,313,3
556,114,1
558,290,
559,230,2
561,220,1
563,313,1
564,290,1
565,112,2
566,114,3
567,220,2
568,114,1
569,380,3
570,230,3
571,360,
572,112,1
573,290,7
574,313,3
576,230,3
578,360,
579,114,
580,220,1
581,230,1
582,112,1
583,313,3
584,112,
585,220,2
586,230,1
587,114,2
588,360,
590,230,3
591,350,1
592,313,3
593,220,1
594,380,
595,360,5
596,114,2
597,230,2
598,290,1
599,313,2
601,360,3
602,220,1
603,360,2
604,114,1
605,112,
606,114,1
608,220,2
609,250,1
610,290,1
611,380,3
613,313,5
615,313,1
616,230,2
618,230,2
619,360,2
620,250,1
621,113,3
622,112,1
623,220,2
625,114,3
626,114,3
627,313,1
628,114,8
629,250,2
630,250,
631,290,
632,220,1
633,230,3
634,113,1
635,290,7
636,350,1
637,250,1
638,360,5
639,250,1
640,230,3
641,313,7
642,112,3
643,220,7
644,313,7
646,250,2
647,114,2
648,230,7
649,290,2
650,112,1
651,113,3
652,350,3
653,113,8
654,250,2
655,230,3
656,220,2
657,220,1
658,360,1
659,313,2
660,380,3
661,114,9
662,114,7
663,250,2
664,250,3
665,220,2
666,290,1
667,250,1
668,230,3
669,313,5
670,113,3
671,112,3
673,113,3
674,380,3
675,230,3
676,290,
677,220,2
678,113,1
679,220,1
680,112,1
681,220,7
682,230,8
683,312,2
684,350,2
685,313,3
686,312,3
687,113,3
688,220,2
689,230,3
690,312,3
691,312,1
692,112,1
693,313,
694,250,1
695,113,3
696,113,2
697,312,2
698,113,3
699,220,1
700,312,1
701,230,7
702,313,2
703,220,7
704,230,2
705,112,
706,312,3
707,220,
708,230,1
711,290,3
712,312,3
713,113,7
714,312,3
715,113,1
716,312,1
717,360,3
718,330,1
719,220,3
720,313,2
721,230,2
722,113,1
724,113,7
725,220,7
726,312,3
727,250,3
728,312,3
729,230,2
730,290,5
731,350,2
732,360,1
734,312,3
735,312,1
737,250,3
738,230,7
739,312,1
740,113,1
741,220,9
742,360,8
743,112,3
744,312,9
746,113,3
747,290,3
748,312,1
749,113,1
750,312,
753,312,1
754,360,3
755,312,3
756,350,2
757,112,1
758,290,1
759,312,1
760,111,1
769,112,5
770,250,1
772,230,3
773,360,3
776,113,3
778,312,2
781,311,1
783,113,1
785,290,5
786,312,1
787,312,3
788,350,3
789,113,1
790,312,2
791,360,8
792,250,2
793,112,3
794,311,1
795,250,1
796,312,3
797,360,1
798,312,3
799,111,2
800,312,1
801,290,2
802,312,3
803,113,3
805,313,9
806,230,3
807,360,1
808,312,1
809,312,3
810,113,5
811,113,1
812,250,1
813,312,3
815,290,
816,370,2
817,313,4
818,111,2
819,360,2
820,250,3
821,313,3
822,312,3
823,290,
824,313,8
825,113,2
827,112,1
828,111,
829,113,2
830,370,2
831,290,5
832,313,8
833,312,1
835,250,
836,113,1
837,311,9
838,290,2
839,313,7
840,313,1
841,113,1
842,111,2
843,311,2
844,312,7
845,370,2
846,250,3
847,313,7
848,113,4
849,311,
850,111,5
851,313,9
852,113,2
853,250,8
854,250,1
855,111,
857,113,3
858,370,2
859,111,2
860,113,9
861,250,1
862,250,1
863,111,5
864,370,
865,312,1
866,111,2
867,250,2
868,370,
869,370,5
870,370,6
871,113,5
873,230,3
875,370,
876,313,3
877,350,1
878,113,5
879,311,8
880,350,1
882,311,7
886,230,7
887,370,2
888,311,1
889,113,8
890,311,3
891,114,3
892,311,1
893,350,5
894,112,3
895,311,7
896,230,2
897,311,1
898,113,1
899,350,5
900,113,
901,350,2
902,313,
903,311,2
904,114,3
905,311,1
906,112,1
907,113,2
908,113,3
909,114,1
910,313,7
911,311,
912,350,1
913,313,7
914,311,1
916,230,1
917,112,1
918,113,1
919,350,1
920,313,2
921,113,3
922,311,8
923,350,5
924,313,2
925,313,2
926,112,
927,350,2
928,111,5
929,113,3
930,113,1
932,350,5
933,311,3
934,313,8
935,113,1
936,350,7
938,111,2
939,113,1
941,113,1
942,112,9
943,313,3
944,313,2
945,113,1
946,220,3
947,112,2
948,311,3
949,313,
950,111,2
951,112,2
952,113,5
953,113,
954,311,1
955,113,1
956,112,1
957,311,1
958,240,3
959,111,1
960,313,2
961,313,
962,220,2
963,320,3
964,113,5
965,350,1
966,311,1
968,240,7
969,113,2
970,111,2
971,311,3
972,350,1
973,112,3
974,313,3
975,112,1
976,240,6
977,320,5
978,311,3
979,220,2
980,350,1
981,240,1
982,111,1
983,240,3
984,113,3
986,311,3
988,112,2
989,313,3
990,240,3
991,112,2
992,350,2
993,111,3
994,240,2
995,311,7
996,113,5
997,113,3
998,350,1
999,112,1
1000,313,1
1001,320,3
1003,312,3
1004,311,3
1005,250,9
1006,350,3
1007,113,1
1008,350,5
1010,311,3
1011,350,1
1012,313,5
1013,113,1
1014,111,2
1015,350,7
1016,312,
1017,350,1
1018,313,2
1019,313,
1020,113,3
1021,311,1
1022,350,2
1023,313,2
1024,350,5
1025,112,2
1026,313,1
1027,112,2
1028,250,5
1029,313,9
1030,320,3
1031,350,9
1032,312,3
1033,350,7
1034,113,2
1035,311,1
1036,113,3
1037,312,9
1038,313,2
1039,111,
1040,313,1
1041,312,3
1042,313,2
1043,350,
1044,113,5
1045,113,3
1046,113,2
1047,320,9997
1048,350,1
1049,311,1
1050,250,9
1052,330,2
1053,313,2
1054,312,1
1055,312,3
1056,350,5
1057,250,9
1058,330,1
1059,113,3
1060,311,1
1061,311,2
1062,350,
1063,312,3
1064,313,5
1065,312,
1066,350,5
1067,320,3
1068,113,3
1069,330,1
1070,312,
1071,250,1
1072,311,
1073,330,2
1074,320,2
1075,313,5
1076,312,1
1077,330,2
1078,312,2
1079,220,2
1080,311,1
1081,250,3
1082,320,2
1083,330,3
1084,312,3
1085,350,1
1086,320,2
1087,312,1
1088,311,3
1089,330,2
1090,350,2
1091,220,2
1092,350,
1093,320,3
1094,312,1
1095,111,5
1096,113,3
1097,312,3
1098,370,1
1099,312,3
1100,250,9
1101,312,3
1102,311,9
1103,350,3
1104,220,1
1105,113,3
1106,312,1
1107,370,2
1108,111,1
1109,220,1
1110,112,4
1111,311,3
1112,250,3
1113,311,3
1114,220,1
1115,311,1
1116,114,
1117,111,1
1118,112,1
1120,311,1
1121,350,1
1122,311,7
1127,111,1
1128,370,
1129,313,1
1130,220,2
1132,111,2
1133,112,1
1134,370,3
1135,220,1
1136,313,3
1137,111,2
1138,220,
1139,112,4
1140,111,2
1141,220,3
1142,220,2
1143,370,7
1144,250,2
1145,111,1
1146,220,3
1147,220,
1148,112,2
1149,370,9
1150,220,7
1151,370,3
1152,313,4
1153,370,2
1155,313,
1156,313,9
1157,370,1
1158,370,2
1159,370,2
1160,370,9
1164,313,3
1165,313,1
1166,313,2
1167,313,1
1168,313,3
1169,370,1
1170,370,3
1171,313,2
1172,313,2
1173,340,7
1174,112,
1175,112,1
1176,311,
1177,340,1
1178,313,1
1179,311,
1180,313,1
1181,340,7
1182,112,1
1183,114,2
1184,313,
1185,340,1
1186,311,1
1187,230,3
1188,311,1
1189,340,2
1190,112,5
1193,313,1
1194,312,3
1195,340,1
1197,112,2
1199,340,7
1200,230,3
1201,112,1
1202,220,3
1204,312,1
1205,311,3
1206,313,9
1207,112,1
1208,340,3
1209,230,
1210,311,3
1211,112,1
1212,220,3
1213,312,1
1214,312,
1215,340,2
1216,311,9
1217,112,
1218,313,2
1219,114,1
1220,230,1
1221,112,1
1222,313,2
1223,340,2
1224,312,2
1225,313,2
1226,112,3
1230,112,5
1233,220,2
1234,112,5
1235,370,3
1236,340,8
1237,340,
1238,230,3
1239,112,
1240,312,1
1241,112,2
1242,370,3
1243,250,3
1244,340,9
1245,112,1
1246,114,1
1248,312,1
1249,112,1
1250,112,2
1251,311,3
1252,112,8
1253,340,2
1254,114,1
1255,312,1
1256,250,1
1257,112,4
1258,340,8
1259,112,5
1260,114,3
1261,311,2
1262,312,1
1263,390,2
1264,112,1
1265,114,3
1266,113,1
1267,112,1
1268,112,2
1269,112,7
1270,230,3
1271,311,3
1272,250,7
1274,311,1
1275,114,8
1277,390,3
1278,311,1
1279,112,5
1280,113,1
1281,311,2
1282,112,5
1283,312,3
1284,112,2
1285,313,3
1286,311,2
1287,112,3
1288,312,2
1289,311,1
1290,390,3
1291,370,5
1292,113,2
1293,112,1
1294,311,1
1295,340,1
1296,112,1
1297,311,
1298,250,1
1299,312,3
1300,112,1
1301,220,1
1302,311,1
1303,311,
1304,112,1
1309,313,1
1310,311,3
1311,113,1
1312,312,1
1313,313,3
1314,390,3
1315,311,3
1316,340,2
1317,340,
1318,220,2
1319,311,2
1320,390,2
1322,311,3
1323,112,1
1326,313,1
1327,313,9
1328,112,
1330,220,
1331,312,3
1333,113,1
1334,313,3
1336,112,1
1337,311,
1338,230,
1339,313,
1340,312,1
1341,112,
1342,250,9
1343,220,3
1344,220,2
1345,390,1
1346,370,7
1349,313,1
1352,360,2
1353,390,1
1358,313,2
1359,113,1
1361,311,
1362,312,1
1363,220,1
1365,220,2
1366,220,3
1367,312,1
1368,311,3
1369,370,7
1375,311,3
1377,113,1
1378,113,2
1379,390,3
1380,311,8
1381,112,5
1382,312,1
1383,311,1
1384,390,1
1385,113,1
1386,220,3
1387,220,2
1388,311,2
1389,312,1
1390,370,3
1392,113,
1393,112,4
1394,112,1
1396,312,1
1397,220,2
1399,112,5
1400,390,5
1402,311,1
1403,113,1
1404,390,1
1405,113,
1406,112,1
1407,311,7
1408,370,9
1409,112,2
1410,340,1
1411,390,9
1412,312,1
1413,112,4
1414,390,9
1415,113,1
1416,220,3
1418,340,2
1419,113,1
1420,340,2
1421,311,3
1422,340,2
1425,220,3
1426,112,3
1427,340,2
1429,340,3
1430,113,1
1431,340,2
1432,340,
1433,370,
1434,340,7
1435,113,1
1436,340,3
1437,340,3
1438,340,2
1439,370,5
1440,113,1
1441,370,1
1442,370,
1443,370,3
1444,330,2
1445,330,3
1446,330,3
1447,330,1
1448,330,1
1449,330,3
1450,330,3
1451,330,2
1452,330,2
1453,330,3
1454,330,3
1455,330,3
1456,330,7
1457,330,5
1458,330,3
1459,330,5
1460,330,1
1461,330,1
1462,330,5
1463,330,1
1464,330,3
1465,330,6
1466,330,1
1467,330,3
1468,330,1
1469,330,7
1470,330,2
1471,330,1
1472,330,3
1475,320,3
1476,320,2
1478,320,3
1479,312,1
1480,312,1
1481,312,1
1482,113,2
1483,113,7
1484,113,
1485,350,7
1486,313,3
1487,350,3
1488,313,2
1489,313,1
1490,313,2
1491,210,1
1492,210,3
1493,220,3
1494,210,
1495,312,2
1496,350,5
1497,210,2
1498,220,1
1499,380,2
1500,210,1
1501,210,2
1502,312,1
1503,210,3
1504,210,1
1505,312,3
1506,210,
1507,210,2
1508,210,2
1509,350,3
1510,210,1
1511,380,2
1512,312,2
1513,210,1
1514,350,2
1515,210,2
1516,210,1
1517,312,2
1518,380,1
1520,311,1
1521,210,3
1522,210,1
1523,380,1
1524,210,2
1525,210,2
1526,210,3
1527,312,1
1528,380,2
1529,210,3
1530,311,2
1531,350,5
1532,210,3
1533,311,7
1536,210,3
1537,210,1
1538,311,2
1539,210,2
1540,380,2
1541,210,1
1542,210,7
1543,210,1
1544,210,3
1545,210,1
1546,210,2
1548,210,3
1549,380,1
1551,210,
1553,210,2
1554,210,7
1555,380,2
1556,311,2
1557,311,3
1559,380,2
1561,210,9
1562,210,3
1563,340,7
1564,210,2
1565,320,1
1566,311,2
1567,320,3
1568,210,3
1569,380,2
1570,313,5
1571,210,7
1572,380,1
1574,210,5
1575,210,
1576,311,5
1577,311,1
1578,210,3
1579,210,7
1580,380,1
1581,210,3
1582,313,
1583,210,3
1584,350,2
1585,210,1
1586,311,5
1587,313,8
1588,380,3
1589,210,5
1590,380,2
1591,311,8
1592,210,
1593,210,2
1594,311,1
1595,210,3
1596,380,1
1597,210,2
1598,380,2
1599,210,3
1600,311,1
1601,210,5
1602,210,
1604,311,2
1605,380,1
1606,210,3
1607,380,2
1608,311,1
1609,360,2
1610,390,1
1611,210,3
1612,313,
1614,114,1
1615,311,
1616,360,2
1617,390,5
1618,380,5
1619,114,2
1620,360,1
1622,380,2
1623,114,2
1624,360,2
1625,390,1
1626,390,2
1627,311,8
1629,114,
1630,390,3
1632,360,2
1633,114,1
1634,312,3
1635,111,2
1636,230,1
1637,111,2
1638,230,3
1639,114,1
1640,114,1
1641,114,5
1642,114,5
1643,114,2
1644,390,
1645,390,1
1647,340,2
1648,340,3
1649,340,2
1650,340,1
1651,340,7
1652,340,3
1653,340,1
1654,340,
1655,340,2
1656,360,2
1657,313,2
1658,360,2
1659,370,3
1660,370,2
1661,380,2
1662,370,2
1663,380,1
1664,370,2
1665,380,1
1667,380,2
1670,370,1
1674,350,3
1675,370,1
1676,380,2
1677,370,
1679,370,5
1680,380,
1681,380,1
1682,370,1
1683,380,1
1684,380,1
1685,370,2
1686,380,8
1687,380,
1688,360,2
1689,360,2
1690,380,
1691,320,2
1692,360,2
1693,380,1
1694,380,1
1695,360,2
1696,360,1
1697,360,1
1699,360,7
1700,260,2
1701,380,1
1702,380,1
1703,360,5
1704,350,1
1705,360,2
1706,380,3
1707,380,3
1708,210,3
1709,380,2
1710,260,2
1711,320,3
1712,210,2
1713,380,7
1714,380,2
1715,210,2
1716,380,2
1717,260,2
1718,380,2
1719,210,
1720,380,1
1721,260,3
1722,210,7
1723,380,1
1724,320,1
1725,210,1
1726,380,1
1727,260,2
1728,210,3
1729,380,7
1730,260,2
1731,210,3
1732,380,7
1733,260,8
1734,240,2
1735,380,3
1736,210,3
1737,240,2
1738,320,2
1739,260,2
1740,210,5
1741,240,2
1743,350,5
1744,240,3
1745,260,
1746,380,2
1748,240,2
1749,260,1
1750,240,2
1751,313,1
1752,240,2
1753,210,1
1754,260,1
1755,320,1
1757,260,3
1758,240,
1760,210,2
1761,240,
1762,380,1
1763,240,2
1764,210,1
1765,380,3
1766,380,1
1768,380,3
1770,320,3
1771,210,2
1772,320,1
1773,380,3
1774,320,3
1775,320,1
1776,380,2
1777,210,1
1778,320,3
1779,380,
1780,320,7
1781,312,2
1782,320,
1783,210,2
1784,210,2
1785,360,2
1786,210,
1787,312,1
1788,360,2
1790,210,1
1791,210,1
1792,360,2
1793,312,2
1794,210,2
1797,380,3
1798,210,1
1800,210,1
1801,210,2
1802,210,3
1803,210,3
1804,380,
1805,210,3
1806,210,3
1807,210,1
1808,210,1
1810,312,
1811,312,1
1812,320,1
1814,320,3
1815,312,1
1816,312,2
1817,380,2
1818,312,1
1819,380,1
1820,380,1
1821,380,2
1822,210,7
1823,210,
1824,380,1
1825,380,2
1826,380,2
1827,380,2
1828,380,1
1829,380,2
1830,320,
1831,312,9
1832,380,2
1833,380,1
1834,320,3
1835,380,
1836,380,1
1837,380,2
1839,320,2
1841,210,5
1842,210,3
1843,210,2
1844,210,3
1846,380,1
1847,380,1
1848,210,2
1849,380,2
1850,380,2
1851,380,9
1852,380,2
1853,210,
1854,380,3
1855,380,1
1856,360,3
1858,320,1
1859,360,1
1860,380,2
1861,210,2
1862,360,3
1863,320,3
1864,380,1
1865,360,3
1866,380,2
1867,380,4
1868,360,7
1869,320,2
1870,380,7
1871,360,1
1872,380,2
1875,210,2
1878,210,2
1879,380,2
1880,210,2
1881,380,1
1883,360,3
1884,360,3
1885,210,5
1886,360,1
1887,360,3
1888,320,2
1889,260,1
1890,320,2
1891,320,3
1892,320,3
1893,320,1
1894,320,
1895,320,
1896,370,7
1897,370,2
1898,320,3
1899,320,
1900,220,2
1901,320,
1902,320,3
1903,320,7
1904,260,1
1905,260,4
1906,260,2
1907,260,1
1908,260,2
1909,260,1
1910,260,1
1911,260,1
1912,260,2
1913,260,9997
1914,260,1
1916,111,
1917,260,
1918,260,1
1919,260,1
1920,260,1
1921,260,7
1922,260,2
1923,320,
1924,320,
1925,320,
1926,390,3
1929,390,9
1930,390,
1931,114,3
1933,313,3
1934,313,2
1935,111,2
1936,113,1
